"Notes"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	298	20506270	1.5
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	284	20690288	1.4
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			582	41196558	1.4
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	4	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2018"	"2018"	3	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			7	41196558	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2017"	"2017"	7	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2018"	"2018"	5	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"			12	41196558	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	51	20506270	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	39	20690288	0.2
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			90	41196558	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2017"	"2017"	1	20506270	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			1	41196558	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	2	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2018"	"2018"	9	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			11	41196558	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	564	20506270	2.8
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	562	20690288	2.7
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			1126	41196558	2.7
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	25	20506270	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	23	20690288	0.1
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by drowning and submersion"	"X71"			48	41196558	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	159	20506270	0.8
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	148	20690288	0.7
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by handgun discharge"	"X72"			307	41196558	0.7
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	25	20506270	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	26	20690288	0.1
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			51	41196558	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	324	20506270	1.6
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	345	20690288	1.7
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			669	41196558	1.6
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	15	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	13	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by smoke, fire and flames"	"X76"			28	41196558	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	26	20506270	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	24	20690288	0.1
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by sharp object"	"X78"			50	41196558	0.1
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	45	20506270	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	55	20690288	0.3
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by jumping from a high place"	"X80"			100	41196558	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	37	20506270	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	34	20690288	0.2
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by jumping or lying before moving object"	"X81"			71	41196558	0.2
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2017"	"2017"	5	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	10	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by crashing of motor vehicle"	"X82"			15	41196558	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	2	20506270	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	1	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by other specified means"	"X83"			3	41196558	Unreliable
	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by unspecified means"	"X84"	"2018"	"2018"	4	20690288	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"	"Intentional self-harm by unspecified means"	"X84"			4	41196558	Unreliable
"Total"	"Female"	"F"	"35-44 years"	"35-44"					3479	41196558	8.4
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	11	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	15	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			26	42559092	0.1
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	152	21468595	0.7
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	150	21090497	0.7
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			302	42559092	0.7
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	66	21468595	0.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	48	21090497	0.2
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			114	42559092	0.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	7	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	6	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			13	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	504	21468595	2.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	413	21090497	2.0
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			917	42559092	2.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	2	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2018"	"2018"	4	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			6	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2017"	"2017"	11	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2018"	"2018"	6	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"			17	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	71	21468595	0.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	50	21090497	0.2
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			121	42559092	0.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to pesticides"	"X68"	"2018"	"2018"	2	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to pesticides"	"X68"			2	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	7	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2018"	"2018"	5	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			12	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	458	21468595	2.1
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	572	21090497	2.7
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			1030	42559092	2.4
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	39	21468595	0.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	43	21090497	0.2
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by drowning and submersion"	"X71"			82	42559092	0.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	223	21468595	1.0
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	199	21090497	0.9
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by handgun discharge"	"X72"			422	42559092	1.0
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	35	21468595	0.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	34	21090497	0.2
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			69	42559092	0.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	476	21468595	2.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	451	21090497	2.1
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			927	42559092	2.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	16	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	17	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by smoke, fire and flames"	"X76"			33	42559092	0.1
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	37	21468595	0.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	38	21090497	0.2
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by sharp object"	"X78"			75	42559092	0.2
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	69	21468595	0.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	50	21090497	0.2
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by jumping from a high place"	"X80"			119	42559092	0.3
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	31	21468595	0.1
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	21	21090497	0.1
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by jumping or lying before moving object"	"X81"			52	42559092	0.1
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2017"	"2017"	6	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	6	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by crashing of motor vehicle"	"X82"			12	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	4	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	2	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by other specified means"	"X83"			6	42559092	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	3	21468595	Unreliable
	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by unspecified means"	"X84"	"2018"	"2018"	8	21090497	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"	"Intentional self-harm by unspecified means"	"X84"			11	42559092	Unreliable
"Total"	"Female"	"F"	"45-54 years"	"45-54"					4368	42559092	10.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	20	21737855	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2018"	"2018"	13	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"			33	43611628	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2017"	"2017"	144	21737855	0.7
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	"2018"	"2018"	165	21873773	0.8
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"			309	43611628	0.7
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2017"	"2017"	69	21737855	0.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	"2018"	"2018"	77	21873773	0.4
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"			146	43611628	0.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2017"	"2017"	4	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"	"2018"	"2018"	8	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system"	"X63"			12	43611628	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2017"	"2017"	435	21737855	2.0
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"2018"	"2018"	430	21873773	2.0
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"			865	43611628	2.0
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2017"	"2017"	5	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to alcohol"	"X65"	"2018"	"2018"	3	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to alcohol"	"X65"			8	43611628	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2017"	"2017"	12	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"	"2018"	"2018"	17	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"	"X66"			29	43611628	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2017"	"2017"	64	21737855	0.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"2018"	"2018"	54	21873773	0.2
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"			118	43611628	0.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2017"	"2017"	8	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	"2018"	"2018"	8	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"			16	43611628	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2017"	"2017"	328	21737855	1.5
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"2018"	"2018"	410	21873773	1.9
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"			738	43611628	1.7
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by drowning and submersion"	"X71"	"2017"	"2017"	42	21737855	0.2
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by drowning and submersion"	"X71"	"2018"	"2018"	45	21873773	0.2
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by drowning and submersion"	"X71"			87	43611628	0.2
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by handgun discharge"	"X72"	"2017"	"2017"	196	21737855	0.9
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by handgun discharge"	"X72"	"2018"	"2018"	206	21873773	0.9
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by handgun discharge"	"X72"			402	43611628	0.9
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2017"	"2017"	30	21737855	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"2018"	"2018"	34	21873773	0.2
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"			64	43611628	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2017"	"2017"	419	21737855	1.9
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"2018"	"2018"	442	21873773	2.0
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			861	43611628	2.0
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by explosive material"	"X75"	"2017"	"2017"	1	21737855	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by explosive material"	"X75"			1	43611628	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2017"	"2017"	24	21737855	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by smoke, fire and flames"	"X76"	"2018"	"2018"	15	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by smoke, fire and flames"	"X76"			39	43611628	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by sharp object"	"X78"	"2017"	"2017"	35	21737855	0.2
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by sharp object"	"X78"	"2018"	"2018"	46	21873773	0.2
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by sharp object"	"X78"			81	43611628	0.2
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by jumping from a high place"	"X80"	"2017"	"2017"	66	21737855	0.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by jumping from a high place"	"X80"	"2018"	"2018"	47	21873773	0.2
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by jumping from a high place"	"X80"			113	43611628	0.3
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2017"	"2017"	27	21737855	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"2018"	"2018"	23	21873773	0.1
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by jumping or lying before moving object"	"X81"			50	43611628	0.1
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2017"	"2017"	5	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by crashing of motor vehicle"	"X82"	"2018"	"2018"	7	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by crashing of motor vehicle"	"X82"			12	43611628	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by other specified means"	"X83"	"2017"	"2017"	2	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by other specified means"	"X83"	"2018"	"2018"	5	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by other specified means"	"X83"			7	43611628	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by unspecified means"	"X84"	"2017"	"2017"	4	21737855	Unreliable
	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by unspecified means"	"X84"	"2018"	"2018"	12	21873773	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"	"Intentional self-harm by unspecified means"	"X84"			16	43611628	Unreliable
"Total"	"Female"	"F"	"55-64 years"	"55-64"					4007	43611628	9.2
	"Female"	"F"	"65-74 years"	"65-74"	"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X60"	"2017"	"2017"	10	15806306	Unreliable
